WizardCity/WC_Ravenwood_Teleporter;bartleby
WizardCity/WC_Golem_Tower;golem court
WizardCity/WC_Streets/Interiors/WC_PET_Park;pet pavilion
WizardCity/WC_Duel_Arena;arena
WizardCity/WC_Streets/WC_Unicorn;unicorn way
WizardCity/WC_Shop_Area;shopping district
WizardCity/WC_Streets/WC_Colossus;colossus boulevard
WizardCity/WC_Streets/WC_OldeTown;olde town
WizardCity/WC_Streets/Interiors/WC_OldeTown_AuctionHouse;bazaar
WizardCity/WC_Streets/WC_Cyclops;cyclops lane
WizardCity/WC_Streets/WC_Triton;triton avenue
WizardCity/WC_Streets/WC_Firecat;firecat alley
Krokotopia/KT_WorldTeleporter;KT world teleporter
Krokotopia/KT_Hub;the oasis
Krokotopia/Interiors/KT_Library;KT library
Krokotopia/KT_Pyramid/KT_AltarOfKings;altar of the kings
Krokotopia/KT_Pyramid/KT_Hall;royal hall
Krokotopia/KT_Pyramid/KT_Chamber;chamber of fire
Krokotopia/KT_Pyramid/KT_PalaceOfFire;palace of fire
Krokotopia/KT_Hub_Sphinx;krokosphinx
Krokotopia/Interiors/KT_School;balance school
Krokotopia/KT_Krokosphinx/KT_EntranceHall;entrance hall
Krokotopia/KT_Krokosphinx/KT_Vault;vault of ice
Krokotopia/KT_Krokosphinx/KT_Retreat;emperor's retreat
Krokotopia/KT_Krokosphinx/KT_ChampHall;hall of champion's
Krokotopia/KT_Krokosphinx/KT_Arena;grand arena
Krokotopia/KT_Hub_Crypt;crypt
Krokotopia/KT_Tomb/KT_WellOfSpirits;well of spirits
Krokotopia/KT_Tomb/KT_TempleOfStorms;temple of storms
Krokotopia/KT_Tomb/KT_Barracks;barracks
Krokotopia/KT_Tomb/KT_DjeseritTomb;djeserit tomb
Krokotopia/KT_Tomb/KT_AhnicTomb;ahnic tomb
Marleybone/Interiors/MB_WolfminsterAbbey;regents's square
Marleybone/MB_Hub;regent's square
Marleybone/MB_Station/MB_Station_Hub;digmoore station
Marleybone/MB_Station/MB_Ironworks;Ironworks
Marleybone/MB_Station/MB_HydePark;Hyde Park
Marleybone/MB_Station/MB_ChelseaCourt;Chelsea Court
Marleybone/Interiors/MB_ScotlandYard;Scotland Yard
Marleybone/MB_ScotlandYard/MB_Roof;Scotland Yard roof
Marleybone/MB_ScotlandYard/MB_KatzLab;katzensteins lab
Marleybone/MB_ScotlandYard/MB_KnightsCourt;knights court
Marleybone/MB_ScotlandYard/MB_Prison;newgate prison
Marleybone/MB_BigBen/MB_Museum;royal museum
Marleybone/MB_BigBen/MB_BigBen;big ben
MooShu/Interiors/MS_Teleport_Chamber;m0door
MooShu/MS_Hub;jade palace
MooShu/MS_War/MS_War_RuinedVillage_Hub;hametsu village
MooShu/MS_War/MS_War_BattlefieldA;crimson fields
MooShu/MS_War/MS_War_BattlefieldB;tatakai outpost
MooShu/Interiors/MS_WaterDojot1_Common;shoshun village entrance
MooShu/MS_Plague/MS_Plague_Hub_FarmVillage;shoshun village
MooShu/MS_Plague/MS_Plague_Zone3_CliffsidePalace;shirataki temple
MooShu/MS_Plague/MS_Plague_Zone1_WaterfallCave;cave of solitude
MooShu/MS_Plague/MS_Plague_Zone2_RiverVillage;kishibe village
MooShu/Interiors/MS_Emperor_Palace;throne room
MooShu/MS_Death/MS_Death_Hub_RuinedTemple;yoshihito temple
MooShu/MS_Death/MS_Death_Zone2_HauntedVillage;village of sorrow
MooShu/MS_Death/MS_Death_Zone3_AncientTree;tree of life
MooShu/MS_Death/MS_Death_Zone1_BurialGround;ancient burial grounds
DragonSpire/DS_Hub_Cathedral;the basilica
DragonSpire/DS_A1_Knowledge/DS_A1Hub_Library;the atheneum
DragonSpire/DS_A1_Knowledge/DS_A1Z1_WizardTower;the tower archives
DragonSpire/DS_A1_Knowledge/DS_A1Z3_GrandChasm;Grand Chasm
DragonSpire/DS_A2_Battle/DS_A2Hub_Necropolis;necropolis
DragonSpire/DS_A2_Battle/DS_A2Z1_Hatchery;drake hatchery
DragonSpire/DS_A2_Battle/DS_A2Z3_Detention;the labrinth
DragonSpire/DS_A2_Battle/DS_A2Z2_Arena;the crucible
DragonSpire/DS_A1_Knowledge/DS_A1Z2_ConquestPlaza;plaza of conquests
DragonSpire/DS_A3_Kings/DS_A3Hub_Academy;dragonspyre academy
DragonSpire/DS_A3_Kings/DS_A3Z3_Volcano/DS_LandingZone;dragons roost
DragonSpire/DS_A3_Kings/DS_A3Z2_Amphitheatre;the forum
DragonSpire/DS_A3_Kings/DS_A3Z1_CrystalGrove;crystal grove
Celestia/CL_Hub;celestia base camp
Celestia/CL_Z10_Kingdom_Of_The_Crabs;crustacean empire
Celestia/CL_Z06_StormHaven;storm riven
Celestia/CL_Z07_Storm_Lord_Temple;storm riven hall
Celestia/CL_Z03_District_Of_The_Stars;District Of The Stars
Celestia/CL_Z04_Temple_Of_The_Stars;the stellarium
Celestia/CL_Z08_Temple_Of_The_Moon/MoonC1;the portico
Celestia/CL_Z01_Survey_Camp;survey camp
Celestia/CL_Z02_Crab_Realm;the grotto
Celestia/CL_Z05_The_Floating_Land;the floating land
Celestia/CL_Z09_Science_Center;science center
Wysteria/PA_Hub;pigswick academy
Wysteria/PA_Z01_Pegasus;pegasus place
Wysteria/PA_Z02_Tanglewood;tanglewood way
Wysteria/Interiors/PA_Library;pigswick Library
Wysteria/Interiors/PA_Library_Archive;Library Archive
Grizzleheim/GH_MainHub;northguard
Grizzleheim/Interiors/Hub_ThroneRoom;bear kings throne
Grizzleheim/GH_Hero;savarstaad pass
Grizzleheim/GH_Wolf;mirkholm keep
Grizzleheim/GH_AbandCity/GH_EntranceHall;nidavellir
Grizzleheim/GH_AbandCity/GH_Library;helgrind warren
Grizzleheim/GH_Raven;ravenscar
Grizzleheim/GH_RedClaw;vigrid roughland
Grizzleheim/GH_HFjord/GH_HFjord;hrundle fjord
Grizzleheim/GH_HFjord/Interiors/GH_HFjord_TownHall;town hall
Grizzleheim/GH_HFjord/GH_Sudrilund;Sudrilund
Grizzleheim/GH_HFjord/GH_Vestrilund;Vestrilund
Grizzleheim/GH_HFjord/GH_Austrilund;Austrilund
Grizzleheim/GH_HFjord/GH_Nordrilund;Nordrilund
Grizzleheim/GH_HFjord/GH_Nastrond;Nastrond
Zafaria/ZF_Z00_Hub;baobab crossroads
Zafaria/ZF_Z02_Baobab_Market;Baobab Market
Zafaria/ZF_Z07_Stone_Town;Stone Town
Zafaria/Interiors/ZF_Z07_I01_Darajani_Palace;Darajani Palace
Zafaria/ZF_Z08_Waterfront;Waterfront
